0x1c04e5c0:	0x03020303	0x01010301	0x01030301	0x02010103
0x1c04e5d0:	0x03030103	0x03010303	0x01010301	0x03030302
0x1c04e5e0:	0x03010103	0x03010101	0x02030201	0x01010303
0x1c04e5f0:	0x02030301	0x03010203	0x03030101	0x01030203
0x1c04e600:	0x01010303	0x01010101	0x03010301	0x03010301
0x1c04e610:	0x02010303	0x01030201	0x01010303	0x01020203
0x1c04e620:	0x03010101	0x03030101	0x03010201	0x01010101
0x1c04e630:	0x01010301	0x01030102	0x01010103	0x01010103
0x1c04e640:	0x02010101	0x01010101	0x01010101	0x01010101
0x1c04e650:	0x02010101	0x03010102	0x01020101	0x02010101
0x1c04e660:	0x03020101	0x03010100	0x01010101	0x03010101
0x1c04e670:	0x01010101	0x01010101	0x01010201	0x01010101
0x1c04e680:	0x03010102	0x01020201	0x02000101	0x00010101
0x1c04e690:	0x01010201	0x01010102	0x01010301	0x01030203
0x1c04e6a0:	0x01010101	0x02010201	0x01010101	0x01010103
0x1c04e6b0:	0x01010101	0x01010101	0x03010201	0x01010101
0x1c04e6c0:	0x02010101	0x01010100	0x02020201	0x01010101
0x1c04e6d0:	0x01010101	0x01010101	0x02010101	0x02010101
0x1c04e6e0:	0x02010101	0x01010101	0x01010101	0x01010101
0x1c04e6f0:	0x03010201	0x01010202	0x03010101	0x01010101
0x1c04e700:	0x03010101	0x01010100	0x03020101	0x01010101
0x1c04e710:	0x01010101	0x01010101	0x01010101	0x02030202
0x1c04e720:	0x01010101	0x02010201	0x01010101	0x02010101
0x1c04e730:	0x01010301	0x01010101	0x01010301	0x01010101
0x1c04e740:	0x03010101	0x02010101	0x01010201	0x01010201
0x1c04e750:	0x02010101	0x02010201	0x01010102	0x03020101
0x1c04e760:	0x03010101	0x01010101	0x02010102	0x01010201
0x1c04e770:	0x02010301	0x02010101	0x02020201	0x02010102
0x1c04e780:	0x02010202	0x01010201	0x01010202	0x02010202
0x1c04e790:	0x02010101	0x01010101	0x01010101	0x02010202
0x1c04e7a0:	0x02020201	0x03010201	0x01020101	0x01010101
0x1c04e7b0:	0x01020101	0x01020101	0x01010201	0x02010102
