0x1c04e940:	0x1e1f1e1f	0x1c1f1e1f	0x1e1f1f1f	0x1d1e1e1e
0x1c04e950:	0x1e1f1e1e	0x1e1e1f1e	0x1e1e1e1f	0x1f1f1e1e
0x1c04e960:	0x1c1c1c1d	0x1c1c1c1c	0x1c1c1c1c	0x1c1c1c1c
0x1c04e970:	0x1c1c1c1c	0x1c1c1c1c	0x1c1c1c1c	0x1c1d1c1c
0x1c04e980:	0x191b1b1c	0x1b1b1b1c	0x1b191b1b	0x1b1b1b1b
0x1c04e990:	0x1b1b1b1b	0x1b1b1b1c	0x1b1b1b1b	0x1b1b1b1b
0x1c04e9a0:	0x18191819	0x19191819	0x19191819	0x18191819
0x1c04e9b0:	0x18191918	0x18191819	0x1819191a	0x18191819
0x1c04e9c0:	0x17181818	0x18181718	0x17181818	0x18181818
0x1c04e9d0:	0x18181718	0x18181818	0x18181818	0x18181818
0x1c04e9e0:	0x16171718	0x17171717	0x17171717	0x17171617
0x1c04e9f0:	0x17171717	0x17171717	0x17171717	0x17181717
0x1c04ea00:	0x16171717	0x16171617	0x16171617	0x16171617
0x1c04ea10:	0x16171717	0x16171617	0x17171717	0x17171717
0x1c04ea20:	0x13161616	0x16161614	0x15151616	0x14161517
0x1c04ea30:	0x15161416	0x16161516	0x16161616	0x16161616
0x1c04ea40:	0x14161415	0x15161614	0x15161516	0x16151516
0x1c04ea50:	0x15161415	0x14161516	0x16161616	0x16161616
0x1c04ea60:	0x13151415	0x14151415	0x14151415	0x13141314
0x1c04ea70:	0x15161415	0x14151516	0x16151516	0x15161516
0x1c04ea80:	0x14151416	0x14141414	0x16161314	0x14151415
0x1c04ea90:	0x13151416	0x14151415	0x15141515	0x16171615
0x1c04eaa0:	0x13141314	0x15161516	0x14151414	0x14151415
0x1c04eab0:	0x14151515	0x14161415	0x15151615	0x14151516
0x1c04eac0:	0x14161415	0x14161515	0x14151516	0x14141415
0x1c04ead0:	0x15151515	0x15151516	0x15161616	0x16161616
0x1c04eae0:	0x13151416	0x15141516	0x15151416	0x15141515
0x1c04eaf0:	0x15151615	0x15161516	0x15161516	0x16161616
0x1c04eb00:	0x14161616	0x16161516	0x16161616	0x16161516
0x1c04eb10:	0x16161616	0x14151516	0x15161616	0x16171716
0x1c04eb20:	0x15171617	0x17161615	0x16171616	0x16161616
0x1c04eb30:	0x16171617	0x16171617	0x16171717	0x17171717
