0x1c04e940:	0x1b1b1b1c	0x191b1b1c	0x1b1b1c1b	0x1a1b191b
0x1c04e950:	0x1b1b191b	0x1b1b1b1b	0x191b1b1b	0x1b1c1b1b
0x1c04e960:	0x1819191a	0x18191818	0x18191818	0x18191819
0x1c04e970:	0x18191918	0x18181919	0x18191818	0x18191819
0x1c04e980:	0x17181818	0x18181818	0x18171817	0x18181818
0x1c04e990:	0x17181818	0x17181718	0x18181818	0x17181818
0x1c04e9a0:	0x16171617	0x17171617	0x17171617	0x16171617
0x1c04e9b0:	0x17171717	0x16171617	0x16171717	0x17171717
0x1c04e9c0:	0x14161616	0x16161416	0x14151516	0x14151516
0x1c04e9d0:	0x16161416	0x16161516	0x14161616	0x16161616
0x1c04e9e0:	0x13151415	0x14141313	0x13141313	0x14141314
0x1c04e9f0:	0x14141313	0x13141314	0x13141414	0x14141414
0x1c04ea00:	0x13141313	0x13141313	0x13131313	0x13131313
0x1c04ea10:	0x13131313	0x13131314	0x13141414	0x13141313
0x1c04ea20:	0x11131313	0x13131313	0x13131313	0x13131313
0x1c04ea30:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ea40:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ea50:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ea60:	0x12131313	0x13131213	0x13131313	0x12131113
0x1c04ea70:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ea80:	0x12131313	0x13131313	0x13131213	0x13131213
0x1c04ea90:	0x11131313	0x13131313	0x13131313	0x13131313
0x1c04eaa0:	0x11131213	0x13131313	0x13131313	0x13131313
0x1c04eab0:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04eac0:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ead0:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04eae0:	0x12131313	0x13131313	0x13131313	0x13131313
0x1c04eaf0:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04eb00:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04eb10:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04eb20:	0x13141313	0x13131313	0x13141313	0x13131313
0x1c04eb30:	0x13141314	0x13141313	0x13141414	0x14141414
